Reference, Quantity, Value, Footprint, Datasheet, Mfr.Nr., Dielectric
C1 C10 C2 C4 C5 C6 C8 ,7,1u/16V,Capacitors_SMD:C_0603,http://www.murata.com/products/catalog/pdf/c02e.pdf,GRM188R71C105KE15D,
C11 C12 C24 C3 C7 ,5,0u1/50V,Capacitors_SMD:C_0603,http://www.murata.com/products/catalog/pdf/c02e.pdf,GRM188R71H104KA93D,
C13 C14 C15 C9 ,4,0u22/25V,Capacitors_SMD:C_0603,http://www.murata.com/products/catalog/pdf/c02e.pdf,GRM188R71E223KA01J,X7R
C16 C17 C23 ,3,4u7/50V,Capacitors_SMD:C_1206,http://www.murata.com/products/catalog/pdf/c02e.pdf,GRM31CR71H475KA12L,
C18 ,1,470u/50V,Capacitors_ThroughHole:C_Radial_D10_L16_P5,http://www.mouser.com/ds/2/315/ABA0000CE22-68457.pdf,EEU-FC1H471L,
C19 C20 C21 C22 ,4,0u68/50V,Capacitors_SMD:C_1206,http://www.murata.com/products/catalog/pdf/c03e.pdf,GCM31CR71H684KA37L,
D1 ,1,LED_RED,LEDs:LED_0603,http://www.mouser.com/ds/2/216/APT1608EC-34957.pdf,APT1608EC,
D2 ,1,LED_GRN,LEDs:LED_0603,http://www.mouser.com/ds/2/216/AP1608SGC-29521.pdf,AP1608SGC,
D3 ,1,SMDJ28,Diodes_SMD:DO-214AB,http://www.mouser.com/ds/2/240/Littelfuse_TVS_Diode_SMDJ_Datasheet.pdf-269537.pdf,5.0SMDJ28CA,
D4 ,1,Diode,MyFootprints:PowerDI5,http://www.mouser.com/ds/2/115/SBR10E45P5-756885.pdf,SBR10E45P5-7,
FB1 ,1,120,Capacitors_SMD:C_1206,http://www.mouser.com/ds/2/281/c31e-794748.pdf,BLM31PG121SN1L,
FB2 ,1,470,Capacitors_SMD:C_0603,http://www.mouser.com/ds/2/281/c31e-794748.pdf,BLM18PG471SN1D,
L1 L2 L3 L4 ,4,10u,MyFootprints:1D10ASeries,http://www.mouser.com/ds/2/192/1D10A-8408.pdf,1D10A-100M,
P1 ,1,CONN_02X08,Connect:IDC_Header_Straight_16pins,http://www.mouser.com/ds/2/445/6120xx21621-265830.pdf,61201621621,
P2 P3 P4 ,3,CONN_01X02,MyFootprints:Connector0.5,http://www.mouser.com/ds/2/324/ItemDetail_1935161-922578.pdf,1935161,
R1 R2 ,2,100k,Resistors_SMD:R_0603,http://www.mouser.com/ds/2/427/dcrcwe3-109170.pdfhttp://www.mouser.com/ds/2/427/dcrcwe3-109170.pdf,CRCW0603100KFKEA,
R3 ,1,560,Resistors_SMD:R_0603,http://www.mouser.com/ds/2/427/crcw0201e3-54960.pdf,CRCW0201560RFKED,
R5 ,1,330,Resistors_SMD:R_0603,http://www.mouser.com/ds/2/427/crcw0201e3-54960.pdf,CRCW0201330RFKED,
R4 R6 ,2,120,Resistors_SMD:R_0603,http://www.mouser.com/ds/2/427/crcw0201e3-54960.pdf,CRCW0201120RJNED,
RP1 ,1,33,Resistors_SMD:R_Array_Concave_4x0603,http://www.mouser.com/ds/2/54/ATCAY-777361.pdf,CAY16-330J4LF,
RV1 ,1,100k,MyFootprints:M64Z104KB40,http://www.mouser.com/ds/2/427/64-239937.pdf,M64Z104KB40,
U1 ,1,SN74LVC14ADG4,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,http://www.mouser.com/ds/2/405/sn74lvc14a-406290.pdf,SN74LVC14ADG4,
U2 ,1,LM317_SOT223,TO_SOT_Packages_SMD:SOT-223,http://www.mouser.com/ds/2/405/lm317-556636.pdf,LM317DCY,
U3 ,1,TAS5760MDCAR,MyFootprints:HTSSOP-48,http://www.mouser.com/ds/2/405/tas5760m-480127.pdf,TAS5760MDCA,
